Transaction ID,Transaction Date,Store ID,Region,City,State,Product ID,Product Name,Category,Type,Cost per Unit,Price per Unit,Quantity Sold,Total Cost,Total Revenue,Profit
32,1/1/2020,S011,Southern,Iskandar Puteri,Johor,P010,English Breakfast Tea,Tea,Black Tea,18,25,7,126,175,49
33,1/1/2020,S011,Southern,Iskandar Puteri,Johor,P010,English Breakfast Tea,Tea,Black Tea,18,25,1,18,25,7
34,1/1/2020,S016,Southern,Sendayan,Negeri Sembilan,P010,English Breakfast Tea,Tea,Black Tea,18,25,4,72,100,28
35,1/1/2020,S004,Northern,Taiping,Perak,P011,Earl Grey Tea,Tea,Black Tea,20,28,19,380,532,152
36,1/1/2020,S003,Northern,Ipoh,Perak,P011,Earl Grey Tea,Tea,Black Tea,20,28,2,40,56,16
37,1/1/2020,S009,Central,Putrajaya,WP Putrajaya,P011,Earl Grey Tea,Tea,Black Tea,20,28,6,120,168,48
38,1/1/2020,S008,Central,Petaling Jaya,Selangor,P011,Earl Grey Tea,Tea,Black Tea,20,28,2,40,56,16
39,1/1/2020,S003,Northern,Ipoh,Perak,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,20,200,300,100
40,1/1/2020,S009,Central,Putrajaya,WP Putrajaya,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,6,60,90,30
41,1/1/2020,S017,East Coast,Kota Bharu,Kelantan,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,7,70,105,35
42,1/1/2020,S013,Southern,Melaka,Melaka,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,5,50,75,25
43,1/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P008,Chocolate Malt Drink,Chocolate,Malt-Based,12,18,2,24,36,12
44,1/1/2020,S019,East Coast,Kuantan,Pahang,P008,Chocolate Malt Drink,Chocolate,Malt-Based,12,18,5,60,90,30
45,1/1/2020,S009,Central,Putrajaya,WP Putrajaya,P008,Chocolate Malt Drink,Chocolate,Malt-Based,12,18,20,240,360,120
46,1/1/2020,S007,Central,Cyberjaya,Selangor,P008,Chocolate Malt Drink,Chocolate,Malt-Based,12,18,15,180,270,90
47,1/1/2020,S007,Central,Cyberjaya,Selangor,P009,Chocolate Instant Drink,Chocolate,Instant,8,12,7,56,84,28
48,1/1/2020,S013,Southern,Melaka,Melaka,P009,Chocolate Instant Drink,Chocolate,Instant,8,12,1,8,12,4
49,1/1/2020,S013,Southern,Melaka,Melaka,P009,Chocolate Instant Drink,Chocolate,Instant,8,12,6,48,72,24
50,2/1/2020,S012,Southern,Senai,Johor,P003,Dark Roast Beans,Coffee,Beans,42,55,10,420,550,130
51,2/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P003,Dark Roast Beans,Coffee,Beans,42,55,7,294,385,91
52,2/1/2020,S013,Southern,Melaka,Melaka,P003,Dark Roast Beans,Coffee,Beans,42,55,4,168,220,52
53,2/1/2020,S003,Northern,Ipoh,Perak,P003,Dark Roast Beans,Coffee,Beans,42,55,3,126,165,39
54,2/1/2020,S017,East Coast,Kota Bharu,Kelantan,P003,Dark Roast Beans,Coffee,Beans,42,55,5,210,275,65
55,2/1/2020,S009,Central,Putrajaya,WP Putrajaya,P003,Dark Roast Beans,Coffee,Beans,42,55,2,84,110,26
56,2/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P003,Dark Roast Beans,Coffee,Beans,42,55,7,294,385,91
57,2/1/2020,S006,Central,Shah Alam,Selangor,P001,Arabica Coffee Beans,Coffee,Beans,45,60,7,315,420,105
58,2/1/2020,S004,Northern,Taiping,Perak,P001,Arabica Coffee Beans,Coffee,Beans,45,60,16,720,960,240
59,2/1/2020,S013,Southern,Melaka,Melaka,P001,Arabica Coffee Beans,Coffee,Beans,45,60,7,315,420,105
60,2/1/2020,S013,Southern,Melaka,Melaka,P002,Robusta Coffee Beans,Coffee,Beans,38,50,7,266,350,84
61,2/1/2020,S004,Northern,Taiping,Perak,P002,Robusta Coffee Beans,Coffee,Beans,38,50,20,760,1000,240
62,2/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P005,Robusta Ground Coffee,Coffee,Ground,26,35,7,182,245,63
63,2/1/2020,S009,Central,Putrajaya,WP Putrajaya,P005,Robusta Ground Coffee,Coffee,Ground,26,35,4,104,140,36
64,2/1/2020,S017,East Coast,Kota Bharu,Kelantan,P005,Robusta Ground Coffee,Coffee,Ground,26,35,6,156,210,54
65,2/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P005,Robusta Ground Coffee,Coffee,Ground,26,35,13,338,455,117
66,2/1/2020,S012,Southern,Senai,Johor,P005,Robusta Ground Coffee,Coffee,Ground,26,35,6,156,210,54
67,2/1/2020,S003,Northern,Ipoh,Perak,P004,Arabica Ground Coffee,Coffee,Ground,30,40,1,30,40,10
68,2/1/2020,S017,East Coast,Kota Bharu,Kelantan,P004,Arabica Ground Coffee,Coffee,Ground,30,40,1,30,40,10
69,2/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P004,Arabica Ground Coffee,Coffee,Ground,30,40,5,150,200,50
70,2/1/2020,S013,Southern,Melaka,Melaka,P004,Arabica Ground Coffee,Coffee,Ground,30,40,2,60,80,20
71,2/1/2020,S019,East Coast,Kuantan,Pahang,P006,Instant Coffee,Coffee,Instant,18,25,4,72,100,28
72,2/1/2020,S009,Central,Putrajaya,WP Putrajaya,P006,Instant Coffee,Coffee,Instant,18,25,5,90,125,35
73,2/1/2020,S002,Northern,George Town,Penang,P006,Instant Coffee,Coffee,Instant,18,25,9,162,225,63
74,2/1/2020,S006,Central,Shah Alam,Selangor,P006,Instant Coffee,Coffee,Instant,18,25,2,36,50,14
75,2/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P013,Oolong Tea,Tea,Oolong Tea,32,45,5,160,225,65
76,2/1/2020,S003,Northern,Ipoh,Perak,P013,Oolong Tea,Tea,Oolong Tea,32,45,3,96,135,39
77,2/1/2020,S003,Northern,Ipoh,Perak,P010,English Breakfast Tea,Tea,Black Tea,18,25,2,36,50,14
78,2/1/2020,S009,Central,Putrajaya,WP Putrajaya,P010,English Breakfast Tea,Tea,Black Tea,18,25,4,72,100,28
79,2/1/2020,S010,Southern,Johor Bahru,Johor,P011,Earl Grey Tea,Tea,Black Tea,20,28,3,60,84,24
80,2/1/2020,S014,Southern,Seremban,Negeri Sembilan,P011,Earl Grey Tea,Tea,Black Tea,20,28,14,280,392,112
81,2/1/2020,S017,East Coast,Kota Bharu,Kelantan,P011,Earl Grey Tea,Tea,Black Tea,20,28,5,100,140,40
82,2/1/2020,S017,East Coast,Kota Bharu,Kelantan,P011,Earl Grey Tea,Tea,Black Tea,20,28,4,80,112,32
83,2/1/2020,S019,East Coast,Kuantan,Pahang,P011,Earl Grey Tea,Tea,Black Tea,20,28,14,280,392,112
84,2/1/2020,S003,Northern,Ipoh,Perak,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,6,60,90,30
85,2/1/2020,S003,Northern,Ipoh,Perak,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,13,130,195,65
86,2/1/2020,S017,East Coast,Kota Bharu,Kelantan,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,6,60,90,30
87,2/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,6,60,90,30
88,2/1/2020,S004,Northern,Taiping,Perak,P009,Chocolate Instant Drink,Chocolate,Instant,8,12,6,48,72,24
89,2/1/2020,S008,Central,Petaling Jaya,Selangor,P009,Chocolate Instant Drink,Chocolate,Instant,8,12,16,128,192,64
90,3/1/2020,S011,Southern,Iskandar Puteri,Johor,P003,Dark Roast Beans,Coffee,Beans,42,55,13,546,715,169
91,3/1/2020,S012,Southern,Senai,Johor,P003,Dark Roast Beans,Coffee,Beans,42,55,16,672,880,208
92,3/1/2020,S002,Northern,George Town,Penang,P003,Dark Roast Beans,Coffee,Beans,42,55,2,84,110,26
93,3/1/2020,S003,Northern,Ipoh,Perak,P003,Dark Roast Beans,Coffee,Beans,42,55,5,210,275,65
94,3/1/2020,S009,Central,Putrajaya,WP Putrajaya,P003,Dark Roast Beans,Coffee,Beans,42,55,4,168,220,52
95,3/1/2020,S007,Central,Cyberjaya,Selangor,P003,Dark Roast Beans,Coffee,Beans,42,55,18,756,990,234
96,3/1/2020,S007,Central,Cyberjaya,Selangor,P003,Dark Roast Beans,Coffee,Beans,42,55,1,42,55,13
97,3/1/2020,S007,Central,Cyberjaya,Selangor,P003,Dark Roast Beans,Coffee,Beans,42,55,1,42,55,13
98,3/1/2020,S011,Southern,Iskandar Puteri,Johor,P001,Arabica Coffee Beans,Coffee,Beans,45,60,2,90,120,30
99,3/1/2020,S012,Southern,Senai,Johor,P002,Robusta Coffee Beans,Coffee,Beans,38,50,4,152,200,48
100,3/1/2020,S013,Southern,Melaka,Melaka,P002,Robusta Coffee Beans,Coffee,Beans,38,50,5,190,250,60
101,3/1/2020,S004,Northern,Taiping,Perak,P002,Robusta Coffee Beans,Coffee,Beans,38,50,12,456,600,144
102,3/1/2020,S004,Northern,Taiping,Perak,P002,Robusta Coffee Beans,Coffee,Beans,38,50,12,456,600,144
103,3/1/2020,S008,Central,Petaling Jaya,Selangor,P002,Robusta Coffee Beans,Coffee,Beans,38,50,20,760,1000,240
104,3/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P005,Robusta Ground Coffee,Coffee,Ground,26,35,5,130,175,45
105,3/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P005,Robusta Ground Coffee,Coffee,Ground,26,35,3,78,105,27
106,3/1/2020,S001,Northern,Alor Setar,Kedah,P005,Robusta Ground Coffee,Coffee,Ground,26,35,13,338,455,117
107,3/1/2020,S018,East Coast,Kuala Terengganu,Terengganu,P005,Robusta Ground Coffee,Coffee,Ground,26,35,18,468,630,162
108,3/1/2020,S006,Central,Shah Alam,Selangor,P005,Robusta Ground Coffee,Coffee,Ground,26,35,2,52,70,18
109,3/1/2020,S006,Central,Shah Alam,Selangor,P005,Robusta Ground Coffee,Coffee,Ground,26,35,6,156,210,54
110,3/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P005,Robusta Ground Coffee,Coffee,Ground,26,35,6,156,210,54
111,3/1/2020,S012,Southern,Senai,Johor,P005,Robusta Ground Coffee,Coffee,Ground,26,35,12,312,420,108
112,3/1/2020,S011,Southern,Iskandar Puteri,Johor,P005,Robusta Ground Coffee,Coffee,Ground,26,35,2,52,70,18
113,3/1/2020,S009,Central,Putrajaya,WP Putrajaya,P004,Arabica Ground Coffee,Coffee,Ground,30,40,9,270,360,90
114,3/1/2020,S009,Central,Putrajaya,WP Putrajaya,P004,Arabica Ground Coffee,Coffee,Ground,30,40,5,150,200,50
115,3/1/2020,S011,Southern,Iskandar Puteri,Johor,P004,Arabica Ground Coffee,Coffee,Ground,30,40,5,150,200,50
116,3/1/2020,S014,Southern,Seremban,Negeri Sembilan,P004,Arabica Ground Coffee,Coffee,Ground,30,40,6,180,240,60
117,3/1/2020,S008,Central,Petaling Jaya,Selangor,P006,Instant Coffee,Coffee,Instant,18,25,11,198,275,77
118,3/1/2020,S017,East Coast,Kota Bharu,Kelantan,P013,Oolong Tea,Tea,Oolong Tea,32,45,3,96,135,39
119,3/1/2020,S013,Southern,Melaka,Melaka,P013,Oolong Tea,Tea,Oolong Tea,32,45,1,32,45,13
120,3/1/2020,S013,Southern,Melaka,Melaka,P012,Matcha Green Tea,Tea,Green Tea,35,50,5,175,250,75
121,3/1/2020,S012,Southern,Senai,Johor,P012,Matcha Green Tea,Tea,Green Tea,35,50,2,70,100,30
122,3/1/2020,S001,Northern,Alor Setar,Kedah,P012,Matcha Green Tea,Tea,Green Tea,35,50,16,560,800,240
123,3/1/2020,S009,Central,Putrajaya,WP Putrajaya,P012,Matcha Green Tea,Tea,Green Tea,35,50,7,245,350,105
124,3/1/2020,S006,Central,Shah Alam,Selangor,P012,Matcha Green Tea,Tea,Green Tea,35,50,2,70,100,30
125,3/1/2020,S003,Northern,Ipoh,Perak,P010,English Breakfast Tea,Tea,Black Tea,18,25,7,126,175,49
126,3/1/2020,S008,Central,Petaling Jaya,Selangor,P010,English Breakfast Tea,Tea,Black Tea,18,25,3,54,75,21
127,3/1/2020,S006,Central,Shah Alam,Selangor,P010,English Breakfast Tea,Tea,Black Tea,18,25,19,342,475,133
128,3/1/2020,S011,Southern,Iskandar Puteri,Johor,P010,English Breakfast Tea,Tea,Black Tea,18,25,2,36,50,14
129,3/1/2020,S016,Southern,Sendayan,Negeri Sembilan,P010,English Breakfast Tea,Tea,Black Tea,18,25,2,36,50,14
130,3/1/2020,S013,Southern,Melaka,Melaka,P011,Earl Grey Tea,Tea,Black Tea,20,28,7,140,196,56
131,3/1/2020,S011,Southern,Iskandar Puteri,Johor,P011,Earl Grey Tea,Tea,Black Tea,20,28,11,220,308,88
132,3/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P011,Earl Grey Tea,Tea,Black Tea,20,28,2,40,56,16
133,3/1/2020,S019,East Coast,Kuantan,Pahang,P011,Earl Grey Tea,Tea,Black Tea,20,28,3,60,84,24
134,3/1/2020,S009,Central,Putrajaya,WP Putrajaya,P011,Earl Grey Tea,Tea,Black Tea,20,28,2,40,56,16
135,3/1/2020,S009,Central,Putrajaya,WP Putrajaya,P011,Earl Grey Tea,Tea,Black Tea,20,28,8,160,224,64
136,3/1/2020,S006,Central,Shah Alam,Selangor,P011,Earl Grey Tea,Tea,Black Tea,20,28,1,20,28,8
137,3/1/2020,S008,Central,Petaling Jaya,Selangor,P011,Earl Grey Tea,Tea,Black Tea,20,28,7,140,196,56
138,3/1/2020,S008,Central,Petaling Jaya,Selangor,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,3,30,45,15
139,3/1/2020,S017,East Coast,Kota Bharu,Kelantan,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,6,60,90,30
140,3/1/2020,S013,Southern,Melaka,Melaka,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,16,160,240,80
141,3/1/2020,S014,Southern,Seremban,Negeri Sembilan,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,6,60,90,30
142,3/1/2020,S018,East Coast,Kuala Terengganu,Terengganu,P008,Chocolate Malt Drink,Chocolate,Malt-Based,12,18,6,72,108,36
143,3/1/2020,S004,Northern,Taiping,Perak,P009,Chocolate Instant Drink,Chocolate,Instant,8,12,7,56,84,28
144,3/1/2020,S010,Southern,Johor Bahru,Johor,P009,Chocolate Instant Drink,Chocolate,Instant,8,12,6,48,72,24
145,4/1/2020,S004,Northern,Taiping,Perak,P003,Dark Roast Beans,Coffee,Beans,42,55,17,714,935,221
146,4/1/2020,S004,Northern,Taiping,Perak,P003,Dark Roast Beans,Coffee,Beans,42,55,7,294,385,91
147,4/1/2020,S009,Central,Putrajaya,WP Putrajaya,P003,Dark Roast Beans,Coffee,Beans,42,55,8,336,440,104
148,4/1/2020,S006,Central,Shah Alam,Selangor,P003,Dark Roast Beans,Coffee,Beans,42,55,7,294,385,91
149,4/1/2020,S007,Central,Cyberjaya,Selangor,P001,Arabica Coffee Beans,Coffee,Beans,45,60,5,225,300,75
150,4/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P001,Arabica Coffee Beans,Coffee,Beans,45,60,12,540,720,180
151,4/1/2020,S013,Southern,Melaka,Melaka,P001,Arabica Coffee Beans,Coffee,Beans,45,60,7,315,420,105
152,4/1/2020,S012,Southern,Senai,Johor,P001,Arabica Coffee Beans,Coffee,Beans,45,60,20,900,1200,300
153,4/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P001,Arabica Coffee Beans,Coffee,Beans,45,60,7,315,420,105
154,4/1/2020,S013,Southern,Melaka,Melaka,P002,Robusta Coffee Beans,Coffee,Beans,38,50,13,494,650,156
155,4/1/2020,S009,Central,Putrajaya,WP Putrajaya,P002,Robusta Coffee Beans,Coffee,Beans,38,50,6,228,300,72
156,4/1/2020,S004,Northern,Taiping,Perak,P005,Robusta Ground Coffee,Coffee,Ground,26,35,2,52,70,18
157,4/1/2020,S018,East Coast,Kuala Terengganu,Terengganu,P005,Robusta Ground Coffee,Coffee,Ground,26,35,20,520,700,180
158,4/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P005,Robusta Ground Coffee,Coffee,Ground,26,35,15,390,525,135
159,4/1/2020,S011,Southern,Iskandar Puteri,Johor,P005,Robusta Ground Coffee,Coffee,Ground,26,35,9,234,315,81
160,4/1/2020,S008,Central,Petaling Jaya,Selangor,P004,Arabica Ground Coffee,Coffee,Ground,30,40,7,210,280,70
161,4/1/2020,S012,Southern,Senai,Johor,P004,Arabica Ground Coffee,Coffee,Ground,30,40,17,510,680,170
162,4/1/2020,S014,Southern,Seremban,Negeri Sembilan,P004,Arabica Ground Coffee,Coffee,Ground,30,40,8,240,320,80
163,4/1/2020,S013,Southern,Melaka,Melaka,P006,Instant Coffee,Coffee,Instant,18,25,3,54,75,21
164,4/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P006,Instant Coffee,Coffee,Instant,18,25,20,360,500,140
165,4/1/2020,S017,East Coast,Kota Bharu,Kelantan,P006,Instant Coffee,Coffee,Instant,18,25,8,144,200,56
166,4/1/2020,S019,East Coast,Kuantan,Pahang,P006,Instant Coffee,Coffee,Instant,18,25,13,234,325,91
167,4/1/2020,S009,Central,Putrajaya,WP Putrajaya,P006,Instant Coffee,Coffee,Instant,18,25,1,18,25,7
168,4/1/2020,S008,Central,Petaling Jaya,Selangor,P006,Instant Coffee,Coffee,Instant,18,25,8,144,200,56
169,4/1/2020,S002,Northern,George Town,Penang,P013,Oolong Tea,Tea,Oolong Tea,32,45,1,32,45,13
170,4/1/2020,S014,Southern,Seremban,Negeri Sembilan,P013,Oolong Tea,Tea,Oolong Tea,32,45,1,32,45,13
171,4/1/2020,S010,Southern,Johor Bahru,Johor,P013,Oolong Tea,Tea,Oolong Tea,32,45,6,192,270,78
172,4/1/2020,S003,Northern,Ipoh,Perak,P012,Matcha Green Tea,Tea,Green Tea,35,50,20,700,1000,300
173,4/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P012,Matcha Green Tea,Tea,Green Tea,35,50,4,140,200,60
174,4/1/2020,S003,Northern,Ipoh,Perak,P010,English Breakfast Tea,Tea,Black Tea,18,25,2,36,50,14
175,4/1/2020,S009,Central,Putrajaya,WP Putrajaya,P010,English Breakfast Tea,Tea,Black Tea,18,25,1,18,25,7
176,4/1/2020,S018,East Coast,Kuala Terengganu,Terengganu,P010,English Breakfast Tea,Tea,Black Tea,18,25,2,36,50,14
177,4/1/2020,S016,Southern,Sendayan,Negeri Sembilan,P010,English Breakfast Tea,Tea,Black Tea,18,25,5,90,125,35
178,4/1/2020,S002,Northern,George Town,Penang,P011,Earl Grey Tea,Tea,Black Tea,20,28,1,20,28,8
179,4/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P011,Earl Grey Tea,Tea,Black Tea,20,28,13,260,364,104
180,4/1/2020,S001,Northern,Alor Setar,Kedah,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,7,70,105,35
181,4/1/2020,S017,East Coast,Kota Bharu,Kelantan,P008,Chocolate Malt Drink,Chocolate,Malt-Based,12,18,7,84,126,42
182,4/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P008,Chocolate Malt Drink,Chocolate,Malt-Based,12,18,4,48,72,24
183,4/1/2020,S008,Central,Petaling Jaya,Selangor,P009,Chocolate Instant Drink,Chocolate,Instant,8,12,18,144,216,72
184,5/1/2020,S003,Northern,Ipoh,Perak,P003,Dark Roast Beans,Coffee,Beans,42,55,20,840,1100,260
185,5/1/2020,S003,Northern,Ipoh,Perak,P001,Arabica Coffee Beans,Coffee,Beans,45,60,5,225,300,75
186,5/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P001,Arabica Coffee Beans,Coffee,Beans,45,60,3,135,180,45
187,5/1/2020,S011,Southern,Iskandar Puteri,Johor,P002,Robusta Coffee Beans,Coffee,Beans,38,50,7,266,350,84
188,5/1/2020,S001,Northern,Alor Setar,Kedah,P002,Robusta Coffee Beans,Coffee,Beans,38,50,18,684,900,216
189,5/1/2020,S003,Northern,Ipoh,Perak,P002,Robusta Coffee Beans,Coffee,Beans,38,50,5,190,250,60
190,5/1/2020,S017,East Coast,Kota Bharu,Kelantan,P002,Robusta Coffee Beans,Coffee,Beans,38,50,4,152,200,48
191,5/1/2020,S002,Northern,George Town,Penang,P005,Robusta Ground Coffee,Coffee,Ground,26,35,7,182,245,63
192,5/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P005,Robusta Ground Coffee,Coffee,Ground,26,35,6,156,210,54
193,5/1/2020,S017,East Coast,Kota Bharu,Kelantan,P004,Arabica Ground Coffee,Coffee,Ground,30,40,5,150,200,50
194,5/1/2020,S007,Central,Cyberjaya,Selangor,P004,Arabica Ground Coffee,Coffee,Ground,30,40,14,420,560,140
195,5/1/2020,S007,Central,Cyberjaya,Selangor,P004,Arabica Ground Coffee,Coffee,Ground,30,40,7,210,280,70
196,5/1/2020,S014,Southern,Seremban,Negeri Sembilan,P006,Instant Coffee,Coffee,Instant,18,25,6,108,150,42
197,5/1/2020,S016,Southern,Sendayan,Negeri Sembilan,P006,Instant Coffee,Coffee,Instant,18,25,1,18,25,7
198,5/1/2020,S009,Central,Putrajaya,WP Putrajaya,P006,Instant Coffee,Coffee,Instant,18,25,5,90,125,35
199,5/1/2020,S002,Northern,George Town,Penang,P013,Oolong Tea,Tea,Oolong Tea,32,45,9,288,405,117
200,5/1/2020,S001,Northern,Alor Setar,Kedah,P013,Oolong Tea,Tea,Oolong Tea,32,45,5,160,225,65
201,5/1/2020,S014,Southern,Seremban,Negeri Sembilan,P013,Oolong Tea,Tea,Oolong Tea,32,45,1,32,45,13
202,5/1/2020,S014,Southern,Seremban,Negeri Sembilan,P012,Matcha Green Tea,Tea,Green Tea,35,50,11,385,550,165
203,5/1/2020,S018,East Coast,Kuala Terengganu,Terengganu,P012,Matcha Green Tea,Tea,Green Tea,35,50,1,35,50,15
204,5/1/2020,S019,East Coast,Kuantan,Pahang,P012,Matcha Green Tea,Tea,Green Tea,35,50,12,420,600,180
205,5/1/2020,S008,Central,Petaling Jaya,Selangor,P012,Matcha Green Tea,Tea,Green Tea,35,50,7,245,350,105
206,5/1/2020,S014,Southern,Seremban,Negeri Sembilan,P010,English Breakfast Tea,Tea,Black Tea,18,25,4,72,100,28
207,5/1/2020,S015,Southern,Seremban 2,Negeri Sembilan,P010,English Breakfast Tea,Tea,Black Tea,18,25,6,108,150,42
208,5/1/2020,S011,Southern,Iskandar Puteri,Johor,P011,Earl Grey Tea,Tea,Black Tea,20,28,1,20,28,8
209,5/1/2020,S002,Northern,George Town,Penang,P011,Earl Grey Tea,Tea,Black Tea,20,28,5,100,140,40
210,5/1/2020,S009,Central,Putrajaya,WP Putrajaya,P011,Earl Grey Tea,Tea,Black Tea,20,28,13,260,364,104
211,5/1/2020,S003,Northern,Ipoh,Perak,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,1,10,15,5
212,5/1/2020,S009,Central,Putrajaya,WP Putrajaya,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,3,30,45,15
213,5/1/2020,S009,Central,Putrajaya,WP Putrajaya,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,6,60,90,30
214,5/1/2020,S005,Central,Kuala Lumpur,WP Kuala Lumpur,P007,Chocolate Milk Drink,Chocolate,Milk-Based,10,15,1,10,15,5
